JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP013.npy Masking [0, 3, 7] results in correlation (-0.173, 0.392) for AF 7 
JW32_TP013.npy Masking [0, 4, 5] results in correlation (0.542, -0.102) for AF 5 
JW32_TP013.npy Masking [0, 4, 7] results in correlation (0.136, 0.668) for AF 7 
JW32_TP013.npy Masking [0, 5, 7] results in correlation (0.855, 0.647) for AF 0 
JW32_TP013.npy Masking [0, 5, 7] results in correlation (-0.107, 0.577) for AF 7 
JW32_TP013.npy Masking [0, 6, 7] results in correlation (0.798, 0.681) for AF 0 
JW32_TP013.npy Masking [0, 6, 7] results in correlation (0.658, 0.848) for AF 6 
JW32_TP013.npy Masking [0, 6, 7] results in correlation (0.249, 0.749) for AF 7 
JW32_TP013.npy Masking [1, 2, 3] results in correlation (0.745, 0.498) for AF 2 
JW32_TP013.npy Masking [1, 2, 7] results in correlation (0.333, 0.640) for AF 7 
